teste,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,memoria_inicio_mb,memoria_fim_mb,gpu_peak_mb,status,observacao,arquivo_origem,modelo,pretrained,categoria_tarefa,execucoes,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,raciocinio_logico_curto,3.0,13173.6442,13760.8353,9.6235,62.0,0.0,525.64,23.68,191.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,hardware_ia_local,3.0,17151.6667,18354.447,10.5286,128.0,0.0,525.68,0.19,191.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,reescrita_objetiva,3.0,17578.4334,19879.3852,8.8857,110.0,0.0,525.71,0.12,191.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,tarefa_longa_uso_real,3.0,18908.9423,19879.6672,10.6532,128.0,0.0,525.77,16.76,191.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,explicacao_conceitual_curta,3.0,33789.9917,34117.579,3.4771,107.0,0.0,525.84,1.4,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,explicacao_tecnica_media,3.0,38070.9315,39281.8915,3.6433,128.0,0.0,510.1,1.56,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,resumo_texto,3.0,27420.4577,27600.6384,4.1189,101.0,0.0,478.59,1.67,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,geracao_codigo_simples,3.0,36981.4448,38331.4535,3.7699,128.0,0.0,478.66,1.88,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,analise_codigo,3.0,34225.936,34385.796,4.0839,128.0,0.0,410.62,1.81,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,raciocinio_logico_curto,3.0,22893.3219,23094.631,4.2012,84.0,0.0,410.95,1.5,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,hardware_ia_local,3.0,34480.6222,34672.301,4.0423,128.0,0.0,371.64,1.87,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,reescrita_objetiva,3.0,21683.6804,22182.9479,3.9921,75.0,0.0,352.02,1.93,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3:8b,,tarefa_longa_uso_real,3.0,43805.5974,51803.4689,3.2426,128.0,0.0,352.1,1.83,611.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,explicacao_conceitual_curta,3.0,37514.0686,42186.7718,3.8591,128.0,0.0,352.2,0.5,189.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,explicacao_tecnica_media,3.0,40800.5597,41487.1519,3.4293,128.0,0.0,328.82,0.44,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,resumo_texto,3.0,38189.525,38241.2349,3.6901,128.0,0.0,328.95,0.64,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,geracao_codigo_simples,3.0,39139.6935,39778.7749,3.6,128.0,0.0,268.04,0.57,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,analise_codigo,3.0,38703.7353,38965.9974,3.6354,128.0,0.0,268.16,0.59,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,raciocinio_logico_curto,3.0,40013.9446,42619.9564,3.5184,128.0,0.0,246.01,0.45,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,hardware_ia_local,3.0,42174.7701,43762.2281,3.3276,128.0,0.0,246.12,0.47,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,reescrita_objetiva,3.0,38986.1163,39579.3235,3.6121,128.0,0.0,246.29,0.59,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen3.5:latest,,tarefa_longa_uso_real,3.0,29369.9301,32966.4462,5.0067,128.0,0.0,237.55,0.8,199.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,explicacao_conceitual_curta,3.0,29228.3149,30877.7477,3.3218,87.0,0.0,219.92,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,explicacao_tecnica_media,3.0,43657.0599,45413.1129,3.1447,128.0,0.0,219.41,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,resumo_texto,3.0,42761.368,46366.4053,3.2384,128.0,0.0,218.33,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,geracao_codigo_simples,3.0,41720.7019,44616.3836,3.3078,128.0,0.0,215.93,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,analise_codigo,3.0,39382.9625,41332.8377,3.5155,128.0,0.0,217.93,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,raciocinio_logico_curto,3.0,28348.7076,31391.1136,2.9764,74.0,0.0,211.45,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,hardware_ia_local,3.0,45446.7469,48408.5059,3.0383,128.0,0.0,211.56,0.0,207.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,qwen2.5-coder:14b,,reescrita_objetiva,3.0,7118.9376,7183.6907,4.4844,19.0,0.0,211.59,0.0,207.0
